1;PDF;.pdf
2;DjVu;.djvu
3;DOC;.doc
4;DOCX;.docx
5;EPUB;.epub
6;eReader;.pdb
7;FictionBook;.fb2
8;HTML;.html
9;iBook;.ibooks
10;Open eBook;.opf
11;text;.txt
12;Plucker;.pdb
13;RTF;.rtf
14;OpenXPS;.xps
